name,pick,xVORP,xVORP_impact,Peak Impact Rating,Immediate Impact Rating,ceiling_player,floor_player,ceiling_player_rating,floor_player_rating,year
Isaiah Crawford,64,0.284699872,0.009536902,1.9,0.12,Draymond Green,Josh Jackson,"{1.0: 5.3, 2.0: 1.8, 3.0: 4.3, 4.0: 1.8, 5.0: 2.8, 6.0: 0.5, 7.0: 1.6, 8.0: -0.4, 9.0: 1.9, 10.0: 3.5, 11.0: 1.6, 12.0: 1.8}","{1.0: -1.1, 2.0: -0.3, 3.0: -0.4, 4.0: -1.3, 5.0: 0.2, 6.0: -0.5, 7.0: -0.2}",2024
Trey Alexander,61,0.224361539,-0.129663132,1.5,-1.62,Desmond Bane,Joe Young,"{1.0: 1.7, 2.0: 2.7, 3.0: 2.5, 4.0: 0.5}","{1.0: -0.3, 2.0: -0.2, 3.0: -0.1}",2024
Ulrich Chomche,58,0.71267641,0.284834627,4.75,3.56,Isaiah Hartenstein,Ziaire Williams,"{1.0: -0.1, 2.0: 2.0, 3.0: 0.2, 4.0: 0.2, 5.0: 0.7, 6.0: 2.6, 7.0: -0.1, 8.0: 0.3}","{1.0: -0.3, 2.0: -0.6, 3.0: -0.5}",2024
Antonio Reeves,47,0.159441082,-0.098698072,1.06,-1.23,Buddy Hield,Jerome Robinson,"{1.0: 1.5, 2.0: 2.7, 3.0: 0.9, 4.0: 0.6, 5.0: 0.2, 6.0: 1.7, 7.0: 0.5, 8.0: 2.4, 9.0: 1.3, 10.0: -0.2, 11.0: 0.0, 12.0: 0.2, 13.0: 0.7, 14.0: 0.3}","{1.0: -0.5, 2.0: -0.2, 3.0: -0.1, 4.0: -0.3, 5.0: -0.1, 6.0: -0.4}",2024
PJ Hall,70,0.255140201,-0.059494428,1.7,-0.74,Santi Aldama,Adreian Payne,"{1.0: 0.7, 2.0: -0.3, 3.0: 1.1}","{1.0: 0.0, 2.0: -0.9, 3.0: -0.5, 4.0: 0.0, 5.0: -0.9, 6.0: 0.0}",2024
Trentyn Flowers,69,0.093821387,-0.154316078,0.63,-1.93,Jonathan Kuminga,Ziaire Williams,"{1.0: 0.8, 2.0: 0.1, 3.0: 0.1}","{1.0: -0.3, 2.0: -0.6, 3.0: -0.5}",2024
Enrique Freeman,51,0.464513955,0.044935573,3.1,0.56,Domantas Sabonis,Anthony Bennett,"{1.0: 6.2, 2.0: -1.0, 3.0: 2.9, 4.0: 5.4, 5.0: 3.2, 6.0: 0.5, 7.0: 3.3, 8.0: 2.7, 9.0: 0.4, 10.0: 2.4}","{1.0: -0.4, 2.0: -0.9, 3.0: 0.0, 4.0: 0.0}",2024
Isaac Jones,72,0.181593162,-0.021057282,1.21,-0.26,Bam Adebayo,Robert Sacre,"{1.0: 2.7, 2.0: 3.3, 3.0: 1.8, 4.0: 2.3, 5.0: 2.7, 6.0: 0.6, 7.0: 3.7}","{1.0: -0.4, 2.0: -0.4, 3.0: -0.4, 4.0: -0.2}",2024
Ariel Hukporti,60,0.311525337,0.087632191,2.08,1.1,Clint Capela,Ike Anigbogu,"{1.0: 2.8, 2.0: 0.6, 3.0: 1.1, 4.0: 2.1, 5.0: 2.8, 6.0: 1.0, 7.0: 1.2, 8.0: 2.2, 9.0: -0.1, 10.0: 1.8}","{1.0: 0.0, 2.0: 0.0}",2024
N'Faly Dante,65,0.762997053,0.341432394,5.09,4.27,Rudy Gobert,Bruno Fernando,"{1.0: -0.1, 2.0: 1.4, 3.0: 4.4, 4.0: 2.5, 5.0: 3.6, 6.0: 2.5, 7.0: 3.8, 8.0: 3.3, 9.0: 3.4, 10.0: 4.8, 11.0: 2.0}","{1.0: -0.1, 2.0: 0.1, 3.0: 0.0, 4.0: 0.0, 5.0: -0.3, 6.0: 0.1, 7.0: -0.4, 8.0: 0.0, 9.0: 0.0}",2024
Reece Beekman,62,0.29045828,0.009640228,1.94,0.12,Monte Morris,Peyton Siva,"{1.0: 0.4, 2.0: 0.1, 3.0: -0.1, 4.0: 0.3, 5.0: 1.7, 6.0: 0.5, 7.0: 1.1, 8.0: 1.1, 9.0: 0.7}",{1.0: -0.2},2024
Anton Watson,55,0.328628053,0.126804681,2.19,1.59,Montrezl Harrell,Guerschon Yabusele,"{1.0: 1.7, 2.0: 2.4, 3.0: 0.5, 4.0: 0.1, 5.0: 2.9, 6.0: 0.1, 7.0: 2.0, 8.0: 1.9, 9.0: 0.8, 10.0: 2.2}","{1.0: 0.0, 2.0: 0.0}",2024
